S.No.,Local Body Code,Local Body Version,Local Body Name      (In English),Local Body Name (In Local),Local Body Type Code,Local Body Type Name,Parent Local Body Code
1,509,1,ALAPPUZHA,ആലപ്പുഴ,1,District Panchayat,
2,510,1,ERNAKULAM,എറണാകുളം,1,District Panchayat,
3,511,1,IDUKKI,ഇടുക്കി,1,District Panchayat,
4,512,1,KANNUR,കണ്ണൂര്‍,1,District Panchayat,
5,513,1,KASARAGOD,കാസര്‍ഗോഡ്,1,District Panchayat,
6,514,1,KOLLAM,കൊല്ലം,1,District Panchayat,
7,515,1,KOTTAYAM,കോട്ടയം,1,District Panchayat,
8,516,1,KOZHIKODE,കോഴിക്കോട്,1,District Panchayat,
9,517,1,MALAPPURAM,മലപ്പുറം,1,District Panchayat,
10,518,1,PALAKKAD,പാലക്കാട്,1,District Panchayat,
11,519,1,PATHANAMTHITTA,പത്തനംതിട്ട,1,District Panchayat,
12,520,1,THIRUVANANTHAPURAM,തിരുവനന്തപുരം,1,District Panchayat,
13,521,1,THRISSUR,തൃശ്ശൂര്‍,1,District Panchayat,
14,522,1,WAYANAD,വയനാട്,1,District Panchayat,
15,6286,2,ADIMALY,അടിമാലി,2,Intermediate Panchayat,511
16,6272,1,ALANGAD,ആലങ്ങാട്,2,Intermediate Panchayat,510
17,6355,1,ALATHUR,ആലത്തൂര്‍,2,Intermediate Panchayat,518
18,6260,1,AMBALAPPUZHA,അമ്പലപ്പുഴ,2,Intermediate Panchayat,509
19,6307,1,ANCHAL,അഞ്ചല്‍,2,Intermediate Panchayat,514
20,6273,1,ANGAMALI,അങ്കമാലി,2,Intermediate Panchayat,510
21,6387,2,ANTHIKKAD,അന്തിക്കാട്,2,Intermediate Panchayat,521
22,6341,2,AREAKODE,അരീക്കോട്,2,Intermediate Panchayat,517
23,6261,1,ARYAD,ആര്യാട്,2,Intermediate Panchayat,509
24,6376,2,ATHIYANNOOR,"അതിയന്നൂര്&zwj,",2,Intermediate Panchayat,520
25,6356,1,ATTAPPADI,അട്ടപ്പാടി,2,Intermediate Panchayat,518
26,6287,1,AZHUTHA,അഴുത,2,Intermediate Panchayat,511
27,6329,2,BALUSSERI,ബാലുശ്ശേരി,2,Intermediate Panchayat,516
28,6262,1,BHARANICAVU,ഭരണിക്കാവ്,2,Intermediate Panchayat,509
29,6308,1,CHADAYAMANGALAM,ചടയമംഗലം,2,Intermediate Panchayat,514
30,6388,2,CHALAKKUDY,ചാലക്കുടി,2,Intermediate Panchayat,521
31,6263,1,CHAMPAKULAM,ചമ്പക്കുളം,2,Intermediate Panchayat,509
32,6389,1,CHAVAKKAD,ചാവക്കാട്,2,Intermediate Panchayat,521
33,6309,1,CHAVARA,ചവറ,2,Intermediate Panchayat,514
34,6330,1,CHELANNUR,ചേളന്നൂര്‍,2,Intermediate Panchayat,516
35,6264,1,CHENGANNUR,ചെങ്ങന്നൂര്‍,2,Intermediate Panchayat,509
36,6390,2,CHERPU,"ചേര്&zwj,പ്പ്",2,Intermediate Panchayat,521
37,6377,2,CHIRAYINKEEZHU,"ചിറയിന്&zwj,കീഴ്",2,Intermediate Panchayat,520
38,6310,2,CHITTUMALA,ചിറ്റുമല,2,Intermediate Panchayat,514
39,6357,1,CHITTUR,ചിറ്റൂര്‍,2,Intermediate Panchayat,518
40,6391,2,CHOWANNUR,"ചൊവ്വന്നൂര്&zwj,",2,Intermediate Panchayat,521
41,6288,2,DEVIKULAM,ദേവികുളം,2,Intermediate Panchayat,511
42,6294,2,EDAKKAD,എടക്കാട്,2,Intermediate Panchayat,512
43,6274,1,EDAPPALLY,ഇടപ്പള്ലി,2,Intermediate Panchayat,510
44,6368,2,ELANTHOOR,"എലന്തൂര്&zwj,",2,Intermediate Panchayat,519
45,6289,2,ELEMDESAM,ഇളംദേശം,2,Intermediate Panchayat,511
46,6318,1,ERATTUPETTA,ഈരാറ്റുപേട്ട,2,Intermediate Panchayat,515
47,6319,1,ETTUMANOOR,ഏറ്റുമാനൂര്‍,2,Intermediate Panchayat,515
48,6265,1,HARIPPAD,ഹരിപ്പാട്,2,Intermediate Panchayat,509
49,6290,2,IDUKKI,ഇടുക്കി,2,Intermediate Panchayat,511
50,6295,2,IRIKKUR,"ഇരിക്കൂര്&zwj,",2,Intermediate Panchayat,512
51,6392,2,IRINJALAKKUDA,ഇരിങ്ങാലക്കുട,2,Intermediate Panchayat,521
52,6296,2,IRITTY,ഇരിട്ടി,2,Intermediate Panchayat,512
53,6311,1,ITHIKKARA,ഇത്തിക്കര,2,Intermediate Panchayat,514
54,6320,1,KADUTHURUTHY,കടുത്തുരുത്തി,2,Intermediate Panchayat,515
55,6881,1,KALIKAVU,കാളികാവ്,2,Intermediate Panchayat,517
56,6884,1,KALLIASSERI,കല്ല്യാശ്ശേരി,2,Intermediate Panchayat,512
57,6403,1,KALPETTA,കല്‍പ്പറ്റ,2,Intermediate Panchayat,522
58,6303,2,KANHANGAD,കാഞ്ഞങ്ങാട്,2,Intermediate Panchayat,513
59,6266,2,KANJIKKUZHY,കഞ്ഞിക്കുഴി,2,Intermediate Panchayat,509
60,6321,1,KANJIRAPPALLY,കാഞ്ഞിരപ്പള്ലി,2,Intermediate Panchayat,515
61,6297,1,KANNUR,കണ്ണൂര്‍,2,Intermediate Panchayat,512
62,6886,2,KARADKA,കാറഡുക്ക,2,Intermediate Panchayat,513
63,6304,2,KASARGOD,"കാസര്&zwj,ഗോഡ്",2,Intermediate Panchayat,513
64,6291,3,KATTAPPANA,കട്ടപ്പന,2,Intermediate Panchayat,511
65,6379,2,KILIMANOOR,"കിളിമാനൂര്&zwj,",2,Intermediate Panchayat,520
66,6393,2,KODAKARA,കൊടകര,2,Intermediate Panchayat,521
67,6331,2,KODUVALLY,കൊടുവള്ളി,2,Intermediate Panchayat,516
68,6369,2,KOIPURAM,കോയിപ്പുറം,2,Intermediate Panchayat,519
69,6358,1,KOLLENGODE,കൊല്ലങ്കോട്,2,Intermediate Panchayat,518
70,6342,2,KONDOTTY,കൊണ്ടോട്ടി,2,Intermediate Panchayat,517
71,6370,2,KONNI,കോന്നി,2,Intermediate Panchayat,519
72,6275,1,KOOVAPPADY,കൂവപ്പടി,2,Intermediate Panchayat,510
73,6276,1,KOTHAMANGALAM,കോതമംഗലം,2,Intermediate Panchayat,510
74,6312,1,KOTTARAKKARA,കൊട്ടാരക്കര,2,Intermediate Panchayat,514
75,6332,1,KOZHIKODE,കോഴിക്കോട്,2,Intermediate Panchayat,516
76,6333,2,KUNNAMANGALAM,കുന്ദമംഗലം,2,Intermediate Panchayat,516
77,6334,1,KUNNUMMAL,കുന്നുമ്മല്‍,2,Intermediate Panchayat,516
78,6298,2,KUTHUPARAMBA,കൂത്തുപറമ്പ,2,Intermediate Panchayat,512
79,6343,1,KUTTIPPURAM,കുറ്റിപ്പുറം,2,Intermediate Panchayat,517
80,6359,1,KUZHALMANNAM,കുഴല്‍മന്ദം,2,Intermediate Panchayat,518
81,6322,1,LALAM,ളാലം,2,Intermediate Panchayat,515
82,6323,1,MADAPPALLY,മാടപ്പള്ളി,2,Intermediate Panchayat,515
83,6394,2,MALA,മാള,2,Intermediate Panchayat,521
84,6360,1,MALAMPUZHA,മലമ്പുഴ,2,Intermediate Panchayat,518
85,6344,2,MALAPPURAM,മലപ്പുറം,2,Intermediate Panchayat,517
86,6371,1,MALLAPPALLY,മല്ലപ്പള്ളി,2,Intermediate Panchayat,519
87,6404,1,MANANTHAVADY,മാനന്തവാടി,2,Intermediate Panchayat,522
88,6305,2,MANJESHWAR,"മഞ്ചേശ്വര്&zwj,",2,Intermediate Panchayat,513
89,6345,1,MANKADA,മങ്കട,2,Intermediate Panchayat,517
90,6361,1,MANNARKAD,മണ്ണാര്‍ക്കാട്,2,Intermediate Panchayat,518
91,6395,1,MATHILAKAM,മതിലകം,2,Intermediate Panchayat,521
92,6267,1,MAVELIKKARA,മാവേലിക്കര,2,Intermediate Panchayat,509
93,6335,1,MELDAY,മേലടി,2,Intermediate Panchayat,516
94,6313,2,MUKHATHALA,മുഖത്തല,2,Intermediate Panchayat,514
95,6277,1,MULANTHURUTHY,മുളന്തുരുത്തി,2,Intermediate Panchayat,510
96,6396,1,MULLASSERY,മുല്ലശ്ശേരി,2,Intermediate Panchayat,521
97,6268,1,MUTHUKULAM,മുതുകുളം,2,Intermediate Panchayat,509
98,6278,1,MUVATTUPUZHA,മുവ്വാറ്റുപുഴ,2,Intermediate Panchayat,510
99,6380,2,NEDUMANGAD,നെടുമങ്ങാട്,2,Intermediate Panchayat,520
100,6292,2,NEDUMKANDOM,നെടങ്കണ്ടം,2,Intermediate Panchayat,511
101,6362,1,NEMMARA,നെന്‍മാറ,2,Intermediate Panchayat,518
102,6381,2,NEMOM,നേമം,2,Intermediate Panchayat,520
103,6346,1,NILAMBUR,നിലമ്പൂര്‍,2,Intermediate Panchayat,517
104,6306,2,NILESHWAR,"നീലേശ്വര്&zwj,",2,Intermediate Panchayat,513
105,6314,1,OACHIRA,ഓച്ചിറ,2,Intermediate Panchayat,514
106,6397,2,OLLUKKARA,ഒല്ലൂക്കര,2,Intermediate Panchayat,521
107,6363,2,OTTAPPALAM,ഒറ്റപ്പാലം,2,Intermediate Panchayat,518
108,6364,1,PALAKKAD,പാലക്കാട്,2,Intermediate Panchayat,518
109,6324,2,PALLOM,പള്ളം,2,Intermediate Panchayat,515
110,6279,1,PALLURUTHY,പള്ളുരുത്തി,2,Intermediate Panchayat,510
111,6325,1,PAMPADY,പാമ്പാടി,2,Intermediate Panchayat,515
112,6280,1,PAMPAKUDA,പാമ്പാക്കുട,2,Intermediate Panchayat,510
113,6882,1,PANAMARAM,പനമരം,2,Intermediate Panchayat,522
114,6372,2,PANDLAM,പന്തളം,2,Intermediate Panchayat,519
115,6883,2,PANOOR,"പാനൂര്&zwj,",2,Intermediate Panchayat,512
116,6336,1,PANTHALAYANI,പന്തലായനി,2,Intermediate Panchayat,516
117,6281,1,PARAKKADAV,പാറക്കടവ്,2,Intermediate Panchayat,510
118,6373,2,PARAKODE,പറക്കോട്,2,Intermediate Panchayat,519
119,6885,4,PARAPPA,പരപ്പ,2,Intermediate Panchayat,513
120,6382,2,PARASSALA,പാറശ്ശാല,2,Intermediate Panchayat,520
121,6282,1,PARAVUR,പറവൂര്‍,2,Intermediate Panchayat,510
122,6315,1,PATHANAPURAM,പത്തനാപുരം,2,Intermediate Panchayat,514
123,6365,2,PATTAMBI,പട്ടാമ്പി,2,Intermediate Panchayat,518
124,6269,1,PATTANAKKAD,പട്ടണക്കാട്,2,Intermediate Panchayat,509
125,6299,2,PAYYANNUR,"പയ്യന്നൂര്&zwj,",2,Intermediate Panchayat,512
126,6398,2,PAZHAYANNUR,"പഴയന്നൂര്&zwj,",2,Intermediate Panchayat,521
127,6337,2,PERAMBRA,പേരാമ്പ്ര,2,Intermediate Panchayat,516
128,6300,2,PERAVOOR,"പേരാവൂര്&zwj,",2,Intermediate Panchayat,512
129,6347,1,PERINTHALMANNA,പെരിന്തല്‍മണ്ണ,2,Intermediate Panchayat,517
130,6383,3,PERUMKADAVILA,പെരുങ്കടവിള,2,Intermediate Panchayat,520
131,6348,1,PERUMPADAPPU,പെരുമ്പടപ്പ്,2,Intermediate Panchayat,517
132,6349,1,PONNANI,പൊന്നാനി,2,Intermediate Panchayat,517
133,6378,1,POTHENCODE,പോത്തന്‍കോട്,2,Intermediate Panchayat,520
134,6374,1,PULIKEEZHU,പുളിക്കീഴ്,2,Intermediate Panchayat,519
135,6399,2,PUZHAKKAL,"പുഴക്കല്&zwj,",2,Intermediate Panchayat,521
136,6375,2,RANNI,റാന്നി,2,Intermediate Panchayat,519
137,6316,1,SASTHAMCOTTAH,ശാസ്താംകോട്ട,2,Intermediate Panchayat,514
138,6366,2,SREEKRISHNAPURAM,ശ്രീകൃഷ്ണപുരം,2,Intermediate Panchayat,518
139,6405,1,SULTHAN BATHERY,സുല്‍ത്താന്‍ബത്തേരി,2,Intermediate Panchayat,522
140,6301,2,TALIPARAMBA,തളിപ്പറമ്പ,2,Intermediate Panchayat,512
141,6350,1,TANUR,താനൂര്‍,2,Intermediate Panchayat,517
142,6302,3,THALASSERY,തലശ്ശേരി,2,Intermediate Panchayat,512
143,6400,1,THALIKKULAM,തളിക്കുളം,2,Intermediate Panchayat,521
144,6338,1,THODANNUR,തോടന്നൂര്‍,2,Intermediate Panchayat,516
145,6293,2,THODUPUZHA,തൊടുപുഴ,2,Intermediate Panchayat,511
146,6339,1,THUNERI,തുണേരി,2,Intermediate Panchayat,516
147,6270,1,THYCATTUSSERY,തൈക്കാട്ടുശ്ശേരി,2,Intermediate Panchayat,509
148,6351,1,TIRUR,തിരൂര്‍,2,Intermediate Panchayat,517
149,6352,2,TIRURANGADI,തിരൂരങ്ങാടി,2,Intermediate Panchayat,517
150,6367,2,TRITHALA,തൃത്താല,2,Intermediate Panchayat,518
151,6326,2,UZHAVOOR,ഉഴവൂര്‍,2,Intermediate Panchayat,515
152,6340,1,VADAKARA,വടകര,2,Intermediate Panchayat,516
153,6283,1,VADAVUCODE,വടവുകോട്,2,Intermediate Panchayat,510
154,6327,1,VAIKOM,വൈക്കം,2,Intermediate Panchayat,515
155,6384,2,VAMANAPURAM,വാമനപുരം,2,Intermediate Panchayat,520
156,6385,2,VARKALA,"വര്&zwj,ക്കല",2,Intermediate Panchayat,520
157,6284,1,VAZHAKKULAM,വാഴക്കുളം,2,Intermediate Panchayat,510
158,6328,1,VAZHOOR,വാഴൂര്‍,2,Intermediate Panchayat,515
159,6271,1,VELIYANAD,വെളിയനാട്,2,Intermediate Panchayat,509
160,6386,2,VELLANAD,വെള്ളനാട്,2,Intermediate Panchayat,520
161,6401,2,VELLANGALLUR,"വെള്ളാങ്ങല്ലൂര്&zwj,",2,Intermediate Panchayat,521
162,6353,2,VENGARA,വേങ്ങര,2,Intermediate Panchayat,517
163,6317,1,VETTIKKAVALA,വെട്ടിക്കവല,2,Intermediate Panchayat,514
164,6285,1,VYPEEN,വൈപ്പിന്‍,2,Intermediate Panchayat,510
165,6402,2,WADAKKANCHERY,വടക്കാഞ്ചേരി,2,Intermediate Panchayat,521
166,6354,2,WANDOOR,"വണ്ടൂര്&zwj,",2,Intermediate Panchayat,517
167,221590,1,ABDUL RAHIMAN NAGAR,അബ്ദുറഹിമാന്‍ നഗര്‍,3,Village Panchayat,6353
168,221887,3,ADAT,അടാട്ട്,3,Village Panchayat,6399
169,221323,4,ADICHANALLOOR,ആദിച്ചനല്ലൂര്‍,3,Village Panchayat,6311
170,221127,1,ADIMALY,അടിമാലി,3,Village Panchayat,6286
171,221615,2,AGALI,അഗളി,3,Village Panchayat,6356
172,221105,1,AIKKARANAD,ഐക്കരനാട്,3,Village Panchayat,6283
173,221257,1,AJANOOR,അജാനൂര്‍,3,Village Panchayat,6303
174,221410,2,AKALAKUNNAM,അകലക്കുന്നം,3,Village Panchayat,6325
175,221636,1,AKATHETHARA,അകത്തേത്തറ,3,Village Panchayat,6360
176,220988,1,ALA,ആല,3,Village Panchayat,6264
177,221853,1,ALAGAPPA NAGAR,അളഗപ്പനഗര്‍,3,Village Panchayat,6393
178,221143,1,ALAKKODE,ആലക്കോട്,3,Village Panchayat,6289
179,221235,2,ALAKODE,ആലക്കോട്,3,Village Panchayat,6301
180,221561,1,ALAMCODE,ആലംകോട്,3,Village Panchayat,6348
181,221644,1,ALANALLUR,അലനല്ലൂര്‍,3,Village Panchayat,6361
182,221041,2,ALANGAD,ആലങ്ങാട്,3,Village Panchayat,6272
183,221328,1,ALAPPAD,ആലപ്പാട്,3,Village Panchayat,6314
184,221606,1,ALATHUR,ആലത്തൂര്‍,3,Village Panchayat,6355
185,221295,1,ALAYAMON,അലയമണ്‍,3,Village Panchayat,6307
186,221554,1,ALIPARAMBA,ആലിപ്പറമ്പ,3,Village Panchayat,6347
187,221862,6,ALUR,"ആളൂര്&amp,amp,zwj,",3,Village Panchayat,6394
188,221544,1,AMARAMBALAM,അമരമ്പലം,3,Village Panchayat,6881
189,221660,1,AMBALAPARA,അമ്പലപ്പാറ,3,Village Panchayat,6363
190,220968,2,AMBALAPPUZHA ( NORTH ),അമ്പലപ്പുഴ വടക്ക്,3,Village Panchayat,6260
191,220969,2,AMBALAPPUZHA(SOUTH),അമ്പലപ്പുഴ തെക്ക്,3,Village Panchayat,6260
192,221929,1,AMBALAVAYAL,അമ്പലവയല്‍,3,Village Panchayat,6405
193,221072,1,AMBALLUR,ആമ്പല്ലൂര്‍,3,Village Panchayat,6277
194,221793,2,AMBOORI,അമ്പൂരി,3,Village Panchayat,6383
195,221775,1,ANAD,ആനാട്,3,Village Panchayat,6380
196,221690,1,ANAKKARA,ആനക്കര,3,Village Panchayat,6367
197,221530,1,ANAKKAYAM,ആനക്കയം,3,Village Panchayat,6344
198,221661,1,ANANGANADI,അനങ്ങനടി,3,Village Panchayat,6363
199,221296,1,ANCHAL,അഞ്ചല്‍,3,Village Panchayat,6307
200,221176,2,ANCHARAKANDY,അഞ്ചരക്കണ്ടി,3,Village Panchayat,6302
201,221763,3,ANDOORKONAM,അണ്ടൂൂര്‍ക്കോണം,3,Village Panchayat,6378
202,221535,1,ANGADIPURAM,അങ്ങാടിപ്പുറം,3,Village Panchayat,6347
203,221720,1,ANICADU,ആനിക്കാട്,3,Village Panchayat,6371
204,221756,3,ANJUTHENGU,അഞ്ചുതെങ്ങ്,3,Village Panchayat,6377
205,221863,2,ANNAMANADA,അന്നമനട,3,Village Panchayat,6394
206,221824,2,ANTHICAD,അന്തിക്കാട്,3,Village Panchayat,6387
207,221150,3,ARAKULAM,അറക്കുളം,3,Village Panchayat,6290
208,221077,1,ARAKUZHA,ആരക്കുഴ,3,Village Panchayat,6278
209,221195,1,ARALAM,ആറളം,3,Village Panchayat,6296
210,221717,1,ARANMULA,ആറന്മുള,3,Village Panchayat,6372
211,221015,4,ARATTUPUZHA,ആറാട്ടുപുഴ,3,Village Panchayat,6268
212,221509,1,AREEKODE,അരീക്കോട്,3,Village Panchayat,6341
213,221297,1,ARIENCAVU,ആര്യങ്കാവ്,3,Village Panchayat,6307
214,221484,1,ARIKULAM,അരിക്കുളം,3,Village Panchayat,6336
215,221888,1,ARIMPOOR,അരിമ്പൂര്‍,3,Village Panchayat,6387
216,221030,1,AROOKUTTY,അരൂക്കുറ്റി,3,Village Panchayat,6270
217,221022,3,AROOR,അരൂര്‍,3,Village Panchayat,6269
218,221373,2,ARPOOKARA,ആര്‍പ്പൂക്കര,3,Village Panchayat,6319
219,221710,2,ARUVAPULAM,അരുവാപ്പുലം,3,Village Panchayat,6370
220,221776,1,ARUVIKKARA,അരുവിക്കര,3,Village Panchayat,6380
221,220973,5,ARYAD,ആര്യാട്,3,Village Panchayat,6261
222,221816,1,ARYANAD,ആര്യനാട്,3,Village Panchayat,6386
223,221794,3,ARYANCODE,ആര്യങ്കോട്,3,Village Panchayat,6383
224,221056,1,ASAMANNOOR,അശമന്നൂര്‍,3,Village Panchayat,6275
225,221524,1,ATHAVANAD,ആതവനാട്,3,Village Panchayat,6343
226,221374,3,ATHIRAMPUZHA,അതിരമ്പുഴ,3,Village Panchayat,6319
227,221828,2,ATHIRAPPALLY,അതിരപ്പള്ളി,3,Village Panchayat,6388
228,221751,1,ATHIYANNOOR,അതിയന്നൂര്‍,3,Village Panchayat,6376
229,221435,1,ATHOLI,അത്തോളി,3,Village Panchayat,6336
230,221889,2,AVANUR,അവണൂര്‍,3,Village Panchayat,6399
231,221839,2,AVINISSERY,ആവിണിശ്ശേരി,3,Village Panchayat,6390
232,221078,1,AVOLY,ആവോലി,3,Village Panchayat,6278
233,221495,1,AYANCHERI,ആയഞ്ചേരി,3,Village Panchayat,6338
234,221403,3,AYARKKUNNAM,അയര്‍കുന്നം,3,Village Panchayat,6324
235,221079,1,AYAVANA,ആയവന,3,Village Panchayat,6278
236,221654,1,AYILOOR,അയിലൂര്‍,3,Village Panchayat,6362
237,221704,1,AYIROOR,അയിരൂര്‍,3,Village Panchayat,6369
238,221372,1,AYMANAM,അയ്മനം,3,Village Panchayat,6319
239,221045,1,AYYAMPUZHA,അയ്യമ്പുഴ,3,Village Panchayat,6273
240,221196,2,AYYANKUNNU,"അയ്യന്&zwj,കുന്ന്",3,Village Panchayat,6296
241,221156,2,AYYAPPANCOIL,"അയ്യപ്പന്&zwj, കോവില്&zwj,",3,Village Panchayat,6291
242,221202,2,AZHIKODE,അഴീക്കോട്,3,Village Panchayat,6297
243,221505,1,AZHIYUR,അഴിയൂര്‍,3,Village Panchayat,6340
244,221757,2,AZHOOR,അഴൂര്‍,3,Village Panchayat,6378
245,221275,1,BADIYADKA,ബദിയഡുക്ക,3,Village Panchayat,6304
246,221258,6,BALAL,ബളാല്‍,3,Village Panchayat,6885
247,221780,4,BALARAMAPURAM,ബാലരാമപുരം,3,Village Panchayat,6381
248,221436,2,BALUSSERI,ബാലുശ്ശേരി,3,Village Panchayat,6329
249,221266,1,BEDADUKA,ബേഡഡുക്ക,3,Village Panchayat,6886
250,221276,1,BELLOOR,ബെള്ളൂര്‍,3,Village Panchayat,6886
251,221390,1,BHARANANGANAM,ഭരണങ്ങാനം,3,Village Panchayat,6322
252,220976,1,BHARANIKKAVU,ഭരണിക്കാവ്,3,Village Panchayat,6262
253,221125,4,BISONVALLEY,ബൈസണ്‍വാലി,3,Village Panchayat,6286
254,220989,2,BUDHANNOOR,ബുധനൂര്‍,3,Village Panchayat,6264
255,221305,1,CHADAYAMANGALAM,ചടയമംഗലം,3,Village Panchayat,6308
256,221488,1,CHAKITTAPARA,ചക്കിട്ടപ്പാറ,3,Village Panchayat,6337
257,221157,4,CHAKKUPALLAM,ചക്കുപള്ളം,3,Village Panchayat,6291
258,221662,1,CHALAVARA,ചളവറ,3,Village Panchayat,6363
259,221691,1,CHALISSERI,ചാലിശ്ശേരി,3,Village Panchayat,6367
260,221545,2,CHALIYAR,ചാലിയാര്‍,3,Village Panchayat,6346
261,220982,7,CHAMPAKKULAM,ചമ്പക്കുളം,3,Village Panchayat,6263
262,221489,1,CHANGAROTH,ചങ്ങരോത്ത്,3,Village Panchayat,6337
263,221236,2,CHAPPARAPADAVU,ചപ്പാരപ്പടവ്,3,Village Panchayat,6301
264,221461,1,CHATHAMANGALAM,ചാത്തമംഗലം,3,Village Panchayat,6333
265,221324,3,CHATHANNUR,ചാത്തന്നൂര്‍,3,Village Panchayat,6311
266,221312,2,CHAVARA,ചവറ,3,Village Panchayat,6309
267,221825,2,CHAZHOOR,ചാഴൂര്‍,3,Village Panchayat,6387
268,221499,1,CHEKKIAD,ചെക്യാട്,3,Village Panchayat,6339
269,221510,3,CHEKKODE,ചീക്കോട്,3,Village Panchayat,6341
270,221881,3,CHELAKKARA,ചേലക്കര,3,Village Panchayat,6398
271,221516,1,CHELAMBRA,ചേലേമ്പ്ര,3,Village Panchayat,6342
272,221443,1,CHELANNUR,ചേളന്നൂര്‍,3,Village Panchayat,6330
273,221085,2,CHELLANAM,ചെല്ലാനം,3,Village Panchayat,6279
274,221485,1,CHEMANACHERY,ചേമഞ്ചേരി,3,Village Panchayat,6336
275,221178,2,CHEMBILODE,ചെമ്പിലോട്,3,Village Panchayat,6294
276,221809,2,CHEMMARUTHY,ചെമ്മരുതി,3,Village Panchayat,6385
277,221267,1,CHEMNAD,ചെമ്മനാട്,3,Village Panchayat,6304
